,spec_no,mz,intensity,signal
0,1,101.07089718477224,73011.82655164931,1
1,1,102.05516223249764,35863.73976040544,1
2,1,104.05299456989596,33774.02471233205,1
3,1,110.07075113490008,89401.8239798615,1
4,1,112.0875216458751,24016.577562112725,1
5,1,113.0714080731074,14933.048591176668,1
6,1,115.0868935368278,36801.61950107054,1
7,1,116.07068714645672,22593.99175818101,1
8,1,120.08386760019552,90819.93806748852,1
9,1,121.08438152502912,15888.088695304828,1
10,1,126.05496528111593,13990.82987615358,1
11,1,127.08683201006264,69054.61961265127,1
12,1,129.0660972263502,29126.71729391347,1
13,1,129.10391941966623,76486.7281195792,1
14,1,130.04985702770384,12209.173442584844,1
15,1,130.06588236490884,15133.52912195178,1
16,1,130.08880812376353,23289.654236884697,1
17,1,131.08262051937083,24122.70822652181,1
18,1,133.04398436693367,25261.17672561444,1
19,1,136.07467087853155,96137.82030603354,1
20,1,137.07792449803745,12932.09442735755,1
21,1,137.11049172429756,61207.5512345569,1
22,1,141.06599129570856,18649.77090832922,1
23,1,141.10264380860724,29548.964769352864,1
24,1,143.08253931624165,57500.48725005589,1
25,1,143.11700488311317,45033.64204769416,1
26,1,147.07554849160684,12864.437078651225,1
27,1,147.11178323334337,35597.44715331115,1
28,1,155.08275439425938,61227.20292024676,1
29,1,155.1278243391481,41709.940120540254,1
30,1,157.09631691087685,30415.00030384988,1
31,1,157.13280902189368,26214.445261113786,1
32,1,158.0914549668147,31308.721568548208,1
33,1,159.075963214538,24275.61256021424,1
34,1,159.09145039006285,36793.605089833865,1
35,1,167.08416562700003,21778.646573772538,1
36,1,169.09651729603505,36720.323541413934,1
37,1,169.1332527805695,27068.536381624184,1
38,1,171.07534648991432,120034.18412664556,1
39,1,171.11249220106336,29840.548423555163,1
40,1,173.09202087003422,41072.10666626575,1
41,1,173.12836526859704,54301.29749595774,1
42,1,175.1179899750736,109312.20136240972,1
43,1,181.0617733107088,17006.580239648978,1
44,1,181.0964751839637,20224.65258333087,1
45,1,181.1241894252768,117619.52038275804,1
46,1,183.07631744384764,20913.399794864654,1
47,1,183.112774171691,38295.46643933282,1
48,1,183.148987625176,54246.84143624458,1
49,1,185.0919325692313,30276.09823755117,1
50,1,185.1279080856678,88928.50442649597,1
51,1,185.1647017492007,33014.98190623767,1
52,1,186.08768122355144,28060.90003311157,1
53,1,186.12372895860184,23593.508982235624,1
54,1,187.0713231013372,25726.867055913903,1
55,1,187.1075814041437,18422.304154698988,1
56,1,187.14416736105213,27592.09021056562,1
57,1,189.0870553506388,26390.94861689387,1
58,1,195.07563916142124,12874.455932459065,1
59,1,197.12837698681108,29565.540399124715,1
60,1,198.08726906864405,33106.56013060848,1
61,1,199.0711873555355,17899.598039064476,1
62,1,199.10763352582245,17189.020186910824,1
63,1,199.1811449409712,35189.25897269674,1
64,1,200.1033537949973,19695.960498995897,1
65,1,200.1389952911728,34658.7135135753,1
66,1,201.08707968522663,35436.6597895603,1
67,1,201.1240174162621,58163.2857280245,1
68,1,202.0836268472408,17532.58052265315,1
69,1,204.1342799863336,17903.77427767109,1
70,1,208.3859329334928,68990.34704349759,1
71,1,211.10765553350035,31216.77733900651,1
72,1,211.1439910544489,36535.357761246814,1
73,1,212.1029609956449,33710.96825638455,1
74,1,213.08690703861296,25476.571030229235,1
75,1,213.15888658819352,32096.19636266372,1
76,1,214.1181340483845,48711.12400895085,1
77,1,215.13656696732247,32169.70256306691,1
78,1,216.0975461719323,26930.289114250816,1
79,1,217.0857193422126,17911.85803703036,1
80,1,225.1235106549944,13939.22940311432,1
81,1,225.6659510770103,114846.12488011945,1
82,1,226.08271597157355,16868.502322395987,1
83,1,226.11816863218945,39898.57612849896,1
84,1,227.10331704430547,19855.949881107248,1
85,1,227.17502198395903,22442.453207701445,1
86,1,228.13400662600336,40751.1002766418,1
87,1,229.11683574756543,20119.417306873347,1
88,1,230.1135524851288,26191.04741332196,1
89,1,233.1649567864158,17110.34681450237,1
90,1,235.1098439634727,41333.48105756637,1
91,1,240.0973405980352,23934.03897467656,1
92,1,240.1340902076577,25009.995106802045,1
93,1,242.1130241394043,65500.73076928745,1
94,1,242.1499460257736,33909.87216277884,1
95,1,243.1106183188302,28412.34200322628,1
96,1,243.13327532856405,18232.539285838106,1
97,1,244.0925589168773,22287.31815935116,1
98,1,244.13006869229403,11454.131259261136,1
99,1,244.1661209636673,20438.0261481425,1
100,1,254.14986345844883,37913.49661259668,1
101,1,256.1293382170451,21087.4627655356,1
102,1,256.16680995396206,59112.14537395477,1
103,1,257.12552515020224,23097.821085416726,1
104,1,258.1081287351429,20627.78126846623,1
105,1,258.1452256479571,14950.831979874642,1
106,1,261.15714267910465,11743.034178569054,1
107,1,265.6018038760519,22186.82973767424,1
108,1,268.129510667589,102071.93612204128,1
109,1,268.16567004168473,33627.96076030201,1
110,1,269.1257177165135,27578.25206687413,1
111,1,270.1458307236277,17049.79999205704,1
112,1,272.12641700538427,29784.15442399463,1
113,1,272.1693462297028,16710.54491155288,1
114,1,283.14266690340907,24886.04659881184,1
115,1,284.1258278312264,72061.45760462704,1
116,1,285.15502173499726,43181.90372777618,1
117,1,297.1554017584008,21085.173560623185,1
118,1,299.1357123443435,24104.24798279177,1
119,1,299.1716506060432,23088.993830080795,1
120,1,301.1297416998194,109969.7820109436,1
121,1,311.17135286331177,35321.89048990607,1
122,1,313.1870714823405,25392.81464447357,1
123,1,314.8565458092574,24586.281477920937,1
124,1,315.16679173519736,20633.946856250262,1
125,1,325.1507059733073,41086.87342290551,1
126,1,325.1872860930687,26561.85940072703,1
127,1,329.18567845330165,20710.345619747983,1
128,1,339.16653509824977,49654.483464671765,1
129,1,368.193132519722,21067.35180106759,1
130,1,465.0995861387681,57557.63262712351,1
131,17,102.05507932907032,42566.18310814446,1
132,17,110.06817183751782,10453.560984789585,1
133,17,120.08148939753151,46724.674651731926,1
134,17,128.07070942166484,6036.804177392887,1
135,17,129.0660628031909,8900.13413415304,1
136,17,129.10270941962312,23156.42641423478,1
137,17,130.08659403543444,13819.918197224331,1
