spec_no,mz,intensity,signal
0,101.07115648230727,57326.36335633726,1
0,102.05488938551684,39692.57184864925,1
0,110.07027108328684,82946.12194197519,1
0,115.08693895612444,43424.388163626536,1
0,120.08414063789476,68679.72444101253,1
0,127.08691072965924,84165.82685442473,1
0,129.06656480872113,24413.99930975748,1
0,129.10364977518717,48997.55329010884,1
0,130.0891430798699,19600.613252324216,1
0,136.07437006223623,51825.976456019656,1
0,141.10329478023615,40519.63733409925,1
0,143.0828201593137,27068.962069776942,1
0,143.11630221872568,45353.29283880594,1
0,147.1115845497765,36659.61226048108,1
0,155.0832056074,60775.91208806678,1
0,157.09611063639323,19457.805146925184,1
0,157.1329697544135,23222.18944868069,1
0,158.09088331399505,26874.55153724828,1
0,159.0757694047751,24316.598109333787,1
0,159.09167187554496,23791.66157732691,1
0,167.08372110613226,27898.44940427388,1
0,169.0961553639379,46212.25836710437,1
0,169.13304649143043,42872.2529416303,1
0,171.07494122794506,79448.04148146811,1
0,171.11270081763175,60664.0638084262,1
0,173.09198197769246,18551.63789028148,1
0,173.1284533606635,35884.90628048225,1
0,175.1177254701272,77739.53885895167,1
0,181.09659469860227,21591.114119545706,1
0,183.1127996826172,38095.64707443237,1
0,183.14925594413128,82930.14079598672,1
0,185.092015870055,49630.65406039234,1
0,185.12806197399743,108922.76476015248,1
0,185.16520676590468,36378.81556977465,1
0,186.0886619035588,34430.39836076248,1
0,186.12358151668568,71120.70748278969,1
0,187.10783071517943,47924.17623324394,1
0,187.1442057598068,27260.85448841876,1
0,197.1285200992904,53730.403816375125,1
0,199.10776996164813,27199.24969493168,1
0,199.1811594823648,40620.49788027758,1
0,200.13900385147485,31385.076482675013,1
0,201.1240339070341,58189.86066251602,1
0,211.14412257682145,52277.99151630316,1
0,212.10307517827945,28180.595583467704,1
0,213.0869226930368,234635.38507263045,1
0,214.11849570107623,288591.9861233051,1
0,215.1336503612052,67401.63405518566,1
0,216.09719323859645,78346.7363995547,1
0,226.1183712607936,111719.52162034888,1
0,227.10311061116903,36682.56969058352,1
0,227.1751169901408,42112.86906658104,1
0,228.13412982153025,39232.4047911254,1
0,229.11747321304009,35239.28044027212,1
0,230.1136442296645,30562.71281208712,1
0,240.1339698538396,67071.22642141044,1
0,242.1498791428863,45846.49659377239,1
0,243.13361568339383,38663.80936975089,1
0,244.0928198666496,163965.36923417688,1
0,254.150202404369,26469.86052572185,1
0,256.1291691849871,40345.26322525885,1
0,257.12758408078724,18310.11692030111,1
0,268.1653420321913,38397.01439695904,1
0,272.1696570260184,36433.03594291423,1
0,284.1250456122942,58235.97705087098,1
0,285.15566582149927,123715.9013730958,1
0,298.1755914580956,55818.89791886726,1
0,299.1729035949707,45064.18318110466,1
0,311.171410912866,30081.7776877472,1
0,313.1516894925025,48496.24204553481,1
0,313.18721412750614,33787.85092876762,1
0,325.1875348259421,56451.64337470532,1
0,326.1722042788366,178983.3484243405,1
0,327.1688877610856,46540.79991587548,1
0,356.1931144558653,15394.136575361905,1
0,430.2202159767493,27740.29632429509,0
3,110.0713708442554,20738.86449168021,1
3,115.0870697890656,29269.37245103377,1
3,129.1035620566526,30484.74040535769,1
3,143.0820046491164,29131.924738430083,1
3,147.1126000355866,19166.82298776659,1
3,175.11816365668113,27598.954319000244,1
3,200.1037817955017,13032.964561215043,1
3,244.0925322741997,13470.843436341946,1
3,262.1506387548509,26722.60545080316,1
3,315.1303991787676,11694.626071826273,1
3,399.2097199538658,25411.970797209902,1
3,658.1610601084766,22238.95555762248,0
3,658.326605115618,43771.63848086766,1
3,740.6766492477608,42735.861646363206,0
4,101.07100582562283,49381.25261148549,1
4,102.05508963915769,25412.977749182253,1
4,110.07043164841672,56633.13776864397,1
4,110.431792258519,342762.9107188864,0
4,112.0873813975941,14344.297954663363,1
4,115.08683389857195,23018.694191200146,1
4,116.07079931702276,14887.0654482986,1
