,spec_no,mz,intensity,signal,closest_neighbor_index,closest_neighbor_distance
0,0,101.07115648230727,57326.36335633726,1,1,0.983732903209571
1,0,102.05488938551684,39692.57184864925,1,0,0.983732903209571
2,0,110.07027108328684,82946.12194197519,1,76,3.0000002015790246
3,0,115.08693895612444,43424.388163626536,1,77,3.0000000028528766
4,0,120.08414063789476,68679.72444101253,1,97,4.000000218370643
5,0,127.08691072965924,84165.82685442473,1,6,1.9796540790618877
6,0,129.06656480872113,24413.99930975748,1,7,0.03708496646603976
7,0,129.10364977518717,48997.55329010884,1,6,0.03708496646603976
8,0,130.0891430798699,19600.613252324216,1,7,0.9854933046827341
9,0,136.07437006223623,51825.976456019656,1,101,4.000000003907537
10,0,141.10329478023615,40519.63733409925,1,11,1.9795253790775575
11,0,143.0828201593137,27068.962069776942,1,12,0.03348205941196625
12,0,143.11630221872568,45353.29283880594,1,11,0.03348205941196625
13,0,147.1115845497765,36659.61226048108,1,80,3.000000171868567
14,0,155.0832056074,60775.91208806678,1,15,2.012905028993231
15,0,157.09611063639323,19457.805146925184,1,16,0.036859118020259984
16,0,157.1329697544135,23222.18944868069,1,15,0.036859118020259984
17,0,158.09088331399505,26874.55153724828,1,16,0.9579135595815558
18,0,159.0757694047751,24316.598109333787,1,19,0.01590247076987339
19,0,159.09167187554496,23791.66157732691,1,18,0.01590247076987339
20,0,167.08372110613226,27898.44940427388,1,21,2.012434257805637
21,0,169.0961553639379,46212.25836710437,1,22,0.03689112749253809
22,0,169.13304649143043,42872.2529416303,1,21,0.03689112749253809
23,0,171.07494122794506,79448.04148146811,1,24,0.03775958968668647
24,0,171.11270081763175,60664.0638084262,1,23,0.03775958968668647
25,0,173.09198197769246,18551.63789028148,1,26,0.03647138297105812
26,0,173.1284533606635,35884.90628048225,1,25,0.03647138297105812
27,0,175.1177254701272,77739.53885895167,1,26,1.989272109463684
28,0,181.09659469860227,21591.114119545706,1,29,2.0162049840149336
29,0,183.1127996826172,38095.64707443237,1,30,0.03645626151407555
30,0,183.14925594413128,82930.14079598672,1,29,0.03645626151407555
31,0,185.092015870055,49630.65406039234,1,32,0.036046103942425134
32,0,185.12806197399743,108922.76476015248,1,31,0.036046103942425134
33,0,185.16520676590468,36378.81556977465,1,32,0.037144791907252284
34,0,186.0886619035588,34430.39836076248,1,35,0.03491961312687408
35,0,186.12358151668568,71120.70748278969,1,34,0.03491961312687408
36,0,187.10783071517943,47924.17623324394,1,37,0.03637504462736274
37,0,187.1442057598068,27260.85448841876,1,36,0.03637504462736274
38,0,197.1285200992904,53730.403816375125,1,39,1.979249862357733
39,0,199.10776996164813,27199.24969493168,1,40,0.07338952071665972
40,0,199.1811594823648,40620.49788027758,1,39,0.07338952071665972
41,0,200.13900385147485,31385.076482675013,1,40,0.9578443691100631
42,0,201.1240339070341,58189.86066251602,1,41,0.9850300555592355
43,0,211.14412257682145,52277.99151630316,1,44,0.9589526014580088
44,0,212.10307517827945,28180.595583467704,1,43,0.9589526014580088
45,0,213.0869226930368,234635.38507263045,1,44,0.9838475147573433
46,0,214.11849570107623,288591.9861233051,1,47,1.0151546601289851
47,0,215.1336503612052,67401.63405518566,1,48,0.9635428773912338
48,0,216.09719323859645,78346.7363995547,1,47,0.9635428773912338
49,0,226.1183712607936,111719.52162034888,1,50,0.9847393503754347
50,0,227.10311061116903,36682.56969058352,1,51,0.0720063789717642
51,0,227.1751169901408,42112.86906658104,1,50,0.0720063789717642
52,0,228.13412982153025,39232.4047911254,1,51,0.9590128313894581
53,0,229.11747321304009,35239.28044027212,1,52,0.983343391509834
54,0,230.1136442296645,30562.71281208712,1,53,0.9961710166244018
55,0,240.1339698538396,67071.22642141044,1,56,2.0159092890467036
56,0,242.1498791428863,45846.49659377239,1,57,0.9837365405075218
57,0,243.13361568339383,38663.80936975089,1,58,0.9592041832557641
58,0,244.0928198666496,163965.36923417688,1,57,0.9592041832557641
59,0,254.150202404369,26469.86052572185,1,60,1.9789667806181228
60,0,256.1291691849871,40345.26322525885,1,61,0.9984148958001242
61,0,257.12758408078724,18310.11692030111,1,60,0.9984148958001242
62,0,268.1653420321913,38397.01439695904,1,63,4.0043149938271085
63,0,272.1696570260184,36433.03594291423,1,62,4.0043149938271085
64,0,284.1250456122942,58235.97705087098,1,65,1.0306202092050967
65,0,285.15566582149927,123715.9013730958,1,64,1.0306202092050967
66,0,298.1755914580956,55818.89791886726,1,67,0.9973121368751094
67,0,299.1729035949707,45064.18318110466,1,66,0.9973121368751094
68,0,311.171410912866,30081.7776877472,1,69,1.9802785796364901
69,0,313.1516894925025,48496.24204553481,1,70,0.03552463500363956
70,0,313.18721412750614,33787.85092876762,1,69,0.03552463500363956
71,0,325.1875348259421,56451.64337470532,1,72,0.9846694528944795
72,0,326.1722042788366,178983.3484243405,1,71,0.9846694528944795
73,0,327.1688877610856,46540.79991587548,1,72,0.9966834822490114
74,0,356.1931144558653,15394.136575361905,1,161,4.121670929510388
75,0,430.2202159767493,27740.29632429509,0,201,8.027909240187025
76,3,110.0713708442554,20738.86449168021,1,92,1.0000004410443144
77,3,115.0870697890656,29269.37245103377,1,95,1.0000000278221621
78,3,129.1035620566526,30484.74040535769,1,99,1.0000001320446696
79,3,143.0820046491164,29131.924738430083,1,103,1.0000000620746359
80,3,147.1126000355866,19166.82298776659,1,105,1.000000121397002
81,3,175.11816365668113,27598.954319000244,1,118,1.0000009003575372
82,3,200.1037817955017,13032.964561215043,1,134,1.0000000426698614
83,3,244.0925322741997,13470.843436341946,1,150,1.0027188500477395
84,3,262.1506387548509,26722.60545080316,1,153,1.405288614658475
85,3,315.1303991787676,11694.626071826273,1,159,2.1850291998798985
86,3,399.2097199538658,25411.970797209902,1,361,6.323270887582781
87,3,658.1610601084766,22238.95555762248,0,88,0.16554500714141795
88,3,658.326605115618,43771.63848086766,1,87,0.16554500714141795
89,3,740.6766492477608,42735.861646363206,0,225,6.985109130757066
90,4,101.07100582562283,49381.25261148549,1,91,0.984083813534852
91,4,102.05508963915769,25412.977749182253,1,90,0.984083813534852
92,4,110.07043164841672,56633.13776864397,1,93,0.36136061010228104
93,4,110.431792258519,342762.9107188864,0,92,0.36136061010228104
94,4,112.0873813975941,14344.297954663363,1,93,1.6555891390751043
95,4,115.08683389857195,23018.694191200146,1,96,0.9839654184508078
96,4,116.07079931702276,14887.0654482986,1,95,0.9839654184508078
97,4,120.08281890978525,67830.37463203895,1,4,4.000000218370643
98,4,129.06604916287452,16184.667436894682,1,99,0.03802679002899367
99,4,129.10407595290351,55134.69345255324,1,98,0.03802679002899367
100,4,130.08905206137146,21958.40509940141,1,99,0.9849761084679471
101,4,136.07454686807404,98374.3722208916,1,9,4.000000003907537
102,4,141.10241220243307,17728.449467201404,1,103,1.9799447949139903
103,4,143.08235699734706,27643.052298868235,1,104,0.034651360506018136
104,4,143.11700835785308,23410.523467243493,1,103,0.034651360506018136
105,4,147.11210729425605,30700.29391066811,1,80,1.000000121397002
106,4,155.0831040027095,28340.273792925225,1,107,2.0133201940317633
107,4,157.09642419674125,13370.783634509946,1,108,0.012510490730676338
108,4,157.10893468747193,4898.72017992776,1,107,0.012510490730676338
109,4,157.13298143998855,21002.205771559868,1,108,0.024046752516625247
110,4,158.09202931573716,25509.666757851926,1,109,0.9590478757486096
111,4,159.07641150246204,10037.626479330198,1,112,0.015129859257456246
112,4,159.0915413617195,20592.00661903017,1,111,0.015129859257456246
113,4,169.0964519406153,13523.767400288383,1,114,0.036917173472659215
114,4,169.13336911408797,9390.840375369527,1,113,0.036917173472659215
115,4,171.11241258893693,16678.679528924073,1,114,1.9790434748489645
116,4,173.09213012119508,24879.68870030259,1,117,0.03681385192231801
117,4,173.1289439731174,18287.73475377427,1,116,0.03681385192231801
118,4,175.1168217491265,113450.07821232767,1,81,1.0000009003575372
119,4,176.12353081659438,6402.393617289876,1,118,1.006709067467881
120,4,183.07610631331303,37193.40846243315,1,121,0.0366727412921648
121,4,183.1127790546052,11361.411358657924,1,122,0.03649725230530976
122,4,183.1492763069105,485318.6996395203,1,121,0.03649725230530976
123,4,184.1526341756185,60092.83476684207,1,124,0.9394697543239658
124,4,185.09210392994245,17952.55111297363,1,125,0.03653445854217807
125,4,185.12863838848463,35379.313076134626,1,124,0.03653445854217807
126,4,185.16540025757257,22577.46071035392,1,125,0.03676186908793966
127,4,186.1248016357422,13011.581010491507,1,128,0.9465262429756081
128,4,187.0713278787178,6290.177347269671,1,129,0.03675138343231765
129,4,187.1080792621501,15031.995061277186,1,130,0.0367045656876428
130,4,187.14478382783776,21275.761861478582,1,129,0.0367045656876428
131,4,197.1283989603609,21871.4627496472,1,132,1.9794478719144593
132,4,199.10784683227536,7463.247573757171,1,133,0.07411977028363026
133,4,199.181966602559,46429.87951781409,1,132,0.07411977028363026
134,4,200.1034896658652,51663.46856152936,1,135,0.033809508238078934
135,4,200.13729917410328,9188.746499913832,1,134,0.033809508238078934
136,4,201.124042678929,18475.60708076699,1,135,0.9867435048257107
137,4,211.1449105472888,342689.68900886795,1,138,0.9587249354993048
138,4,212.1036354827881,9695.062632582189,1,139,0.04391531983830532
139,4,212.1475508026264,42589.31024347912,1,138,0.04391531983830532
140,4,213.0872285262398,9382.27363168934,1,139,0.9396777236134142
141,4,215.1375214158443,24597.370639305784,1,140,2.050292889604492
142,4,226.11812645280864,11128.619940988334,1,143,1.056315822880947
143,4,227.1744422756896,22432.12520557715,1,144,0.9591944841308191
144,4,228.1336367598204,14038.310687938583,1,143,0.9591944841308191
145,4,235.144073961046,51931.4292016432,1,192,4.292644768711508
146,4,240.1336617070204,6686.769506854052,1,147,0.9710381045406393
147,4,241.10469981156103,234019.27929812387,0,146,0.9710381045406393
148,4,242.14979682074653,14223.662693574694,1,149,0.9832115154278824
149,4,243.1330083361744,14992.629756323684,1,148,0.9832115154278824
150,4,244.1663231424766,13554.412432840554,1,83,1.0027188500477395
151,4,256.16600692828086,12790.51348925872,1,60,4.000169623819842
152,4,260.1954735903004,11344.727488868864,1,84,2.196058018512181
153,4,263.13797663546154,34343.20416035187,1,84,1.405288614658475
154,4,269.1247480302581,12268.422084019448,1,62,4.113448658866011
155,4,277.1540294244661,28818.94143270368,1,336,5.836992785130519
156,4,286.150563015408,40655.05643797768,1,157,2.053264770262956
157,4,288.20382778567097,13616.003120684882,1,156,2.053264770262956
158,4,303.17669280370075,27182.071572214365,1,195,3.000723173754964
159,4,313.18762986556345,11387.893694608108,1,85,2.1850291998798985
160,4,334.17581063128534,37137.850685954094,1,346,6.40916671729103
161,4,357.18718248732546,40760.07684334288,1,198,3.0000956545560165
162,4,374.2093569946289,242957.4868366051,1,163,1.0015617750057118
163,4,375.2109187696346,42252.48080034609,1,162,1.0015617750057118
164,4,470.27155482353857,19021.047369582146,1,206,4.2674158544773775
165,4,479.9511726626616,35644.380229015325,0,206,7.290527645344162
166,4,487.2974730669442,105966.28732261012,1,370,5.779665262284557
167,4,532.5635961908665,176945.6538583588,0,208,3.4157877383840645
168,4,558.3355733834061,407570.9495574002,1,209,3.6059630271799477
169,4,594.3633851680504,48247.44337129451,0,212,4.911411062645383
170,4,657.4048602560292,359348.4041394026,1,171,1.002924215204871
171,4,658.4077844712341,114340.9545241791,1,170,1.002924215204871
172,4,666.6630778209819,158514.50095173952,0,221,5.073324798950321
173,4,820.467311706543,910927.4910998892,1,174,1.0026531215402201
174,4,821.4699648280832,363593.0953767797,1,173,1.0026531215402201
175,4,861.3581401628056,322873.6577154666,0,235,5.0247520230811835
176,4,918.3816158330654,299436.73527779046,0,399,5.081678506228753
177,4,933.5514419231008,271220.23479989235,1,178,1.0019000603085715
178,4,934.5533419834094,121390.54559337693,1,177,1.0019000603085715
179,4,988.5000799119304,603622.6981104672,0,577,16.502150116081896
180,6,143.11167181396485,12563.802629356383,1,104,2.0000071196624956
181,6,207.4817997879317,12563.802629356383,0,188,1.9044630681664072
182,7,159.09077118990714,48774.57220378675,1,269,2.000000141551415
183,7,175.11789141203226,23991.90085700368,1,279,2.000000000103445
184,7,178.06361844337593,33572.566870944785,1,183,2.945727031343665
185,7,181.1077664922721,35112.26425314122,1,281,2.000029933147612
186,7,183.11191071855265,16174.298171023103,1,282,2.0000001460686603
187,7,200.1380892615336,21721.085074385745,1,294,2.2169493232550934
188,7,209.1025957584381,42934.65270843506,1,181,1.9044630681664072
189,7,212.1022075599348,41738.959390237294,1,301,2.000000754093521
190,7,215.0475419017073,35914.35393781022,1,304,2.000000292699313
191,7,228.1329300251413,35613.18058893641,1,314,2.000000591002064
192,7,232.0737646752661,58152.85056373994,1,316,2.0000003828671553
193,7,246.1259956937848,26835.522412863644,1,194,0.05218207495951788
194,7,246.17817776874432,82461.25557480044,1,193,0.05218207495951788
195,7,303.1108174250676,34268.516281685464,1,341,2.0000004683321237
196,7,321.0670477909112,42696.06956780631,1,344,4.580175236033486
197,7,356.2275144698772,55726.203698229285,1,198,0.9836249889992246
198,7,357.2111394588764,65550.96448245874,1,197,0.9836249889992246
199,7,374.2376988797022,70462.71591342997,1,355,2.19097523677201
200,7,412.17447354243353,69655.55572415773,1,548,6.45909542282448
201,7,434.1505247138182,38464.488630644606,1,457,3.603461002872771
202,7,440.17475545891807,127062.03586692076,1,203,0.5124039368479316
203,7,440.687159395766,49224.10460345681,1,202,0.5124039368479316
204,7,454.1832255701865,60214.70264657432,1,365,2.8072654658486567
205,7,462.6960502241569,46532.966832635946,1,367,2.504231152290787
206,7,473.30649107905447,45644.45875354289,1,369,2.2929466027846606
207,7,523.2049264941066,48504.91034988908,1,371,4.488097357277024
208,7,534.1968768996533,82616.96030332032,1,167,3.4157877383840645
209,7,560.3363155840378,62117.57274469996,1,375,2.191858490619897
210,7,568.7084637891065,99444.2818899756,1,211,0.5011539594885335
211,7,569.2096177485951,68652.36268920788,1,210,0.5011539594885335
212,7,598.2520814311025,52568.150563750845,1,213,1.9629523226885794
213,7,600.2150337537911,98078.82231091398,1,214,0.5009041381402994
214,7,600.7159378919314,70851.96042991562,1,213,0.5009041381402994
215,7,614.2126927727821,122045.0214491808,1,216,0.5012780652133415
216,7,614.7139708379955,78673.90541556668,1,215,0.5012780652133415
217,7,625.2493934499352,59264.21860743064,1,218,0.9984372792315526
218,7,626.2478307291667,70739.75477992758,1,217,0.9984372792315526
219,7,631.3739939304377,99314.4283373498,1,383,2.1916381168204104
220,7,656.7560750183743,80206.18574441518,1,170,3.0693520952472935
221,7,670.7543642342808,92423.34100957664,1,222,0.500240972835627
222,7,671.2546052071165,73851.35697922751,1,221,0.500240972835627
223,7,700.3724396115258,216534.11433903803,1,224,0.5008192395406468
224,7,700.8732588510665,178790.3225249003,1,223,0.5008192395406468
225,7,746.4030573338638,139386.38808610116,1,226,1.0012019264469245
226,7,747.4042592603107,76446.79861237282,1,225,1.0012019264469245
227,7,757.8853516705268,582972.7194352952,1,228,0.5023785476997773
228,7,758.3877302182266,561439.5958250894,1,229,0.4996772716248188
229,7,758.8874074898514,154689.93757833843,1,228,0.4996772716248188
230,7,821.3069698857327,123914.4009814917,1,231,0.5012028781895879
231,7,821.8081727639222,108543.20167189378,1,232,0.49983231495684777
232,7,822.3080050788791,72008.96673215034,1,231,0.49983231495684777
233,7,856.6451161834786,47611.151667160055,0,234,0.18038278840117528
